validation_strategy,train_region,test_region,model,feature,importance,importance_type
region_transfer,Sahara,East China,random_forest,v_wind,0.07216170802838809,importance
region_transfer,Sahara,East China,random_forest,wind_speed,0.12194905740287484,importance
region_transfer,Sahara,East China,random_forest,month_sin,0.016639475570608457,importance
region_transfer,Sahara,East China,random_forest,month_cos,0.00799002625365135,importance
region_transfer,Sahara,East China,random_forest,temperature_anomaly,0.10024216551602616,importance
region_transfer,Sahara,East China,random_forest,precipitation_anomaly,0.05746013203155703,importance
region_transfer,Sahara,East China,random_forest,radiation_anomaly,0.11062668950558119,importance
region_transfer,Sahara,East China,random_forest,soil_moisture_anomaly,0.0765712787518208,importance
region_transfer,Sahara,East China,random_forest,dryness_proxy,0.04879511486040824,importance
region_transfer,Sahara,East China,random_forest,saturation_vapor_pressure,0.029957162029186787,importance
region_transfer,Sahara,East China,xgboost,latitude,0.03626645728945732,importance
region_transfer,Sahara,East China,xgboost,longitude,0.04121483862400055,importance
region_transfer,Sahara,East China,xgboost,temperature,0.04766977205872536,importance
region_transfer,Sahara,East China,xgboost,precipitation,0.04734691232442856,importance
region_transfer,Sahara,East China,xgboost,radiation,0.04707290604710579,importance
region_transfer,Sahara,East China,xgboost,soil_moisture,0.05824419856071472,importance
region_transfer,Sahara,East China,xgboost,u_wind,0.07056025415658951,importance
region_transfer,Sahara,East China,xgboost,v_wind,0.04960791766643524,importance
region_transfer,Sahara,East China,xgboost,wind_speed,0.1325993835926056,importance
region_transfer,Sahara,East China,xgboost,month_sin,0.04451568052172661,importance
region_transfer,Sahara,East China,xgboost,month_cos,0.0461224690079689,importance
region_transfer,Sahara,East China,xgboost,temperature_anomaly,0.07396820932626724,importance
region_transfer,Sahara,East China,xgboost,precipitation_anomaly,0.048944778740406036,importance
region_transfer,Sahara,East China,xgboost,radiation_anomaly,0.07821548730134964,importance
region_transfer,Sahara,East China,xgboost,soil_moisture_anomaly,0.07891521602869034,importance
region_transfer,Sahara,East China,xgboost,dryness_proxy,0.052946824580430984,importance
region_transfer,Sahara,East China,xgboost,saturation_vapor_pressure,0.04578878730535507,importance
region_transfer,East China,Sahara,linear_regression,latitude,0.009311138873549667,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,longitude,0.005465709455350741,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,temperature,0.025009348027521545,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,precipitation,0.004843890484421319,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,radiation,0.0032998059816381343,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,soil_moisture,8.490354636519727e-06,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,u_wind,9.722019893452844e-05,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,v_wind,0.0001761669738504503,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,wind_speed,0.00011401887174704616,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,month_sin,0.003457949191256749,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,month_cos,0.0006628296145720913,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,temperature_anomaly,0.011253935679614956,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,precipitation_anomaly,0.031146812852812483,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,radiation_anomaly,0.01632119892732188,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,soil_moisture_anomaly,5.213274367318512e-05,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,dryness_proxy,1.3963754545545459e-09,absolute_coefficient
region_transfer,East China,Sahara,linear_regression,saturation_vapor_pressure,0.0022361326862735433,absolute_coefficient
region_transfer,East China,Sahara,random_forest,latitude,0.037755124561472425,importance
region_transfer,East China,Sahara,random_forest,longitude,0.03879098756831221,importance
region_transfer,East China,Sahara,random_forest,temperature,0.020140563120889545,importance
region_transfer,East China,Sahara,random_forest,precipitation,0.030033106086261852,importance
region_transfer,East China,Sahara,random_forest,radiation,0.044008348255879653,importance
region_transfer,East China,Sahara,random_forest,soil_moisture,0.04347033728804142,importance
region_transfer,East China,Sahara,random_forest,u_wind,0.05277389731416485,importance
region_transfer,East China,Sahara,random_forest,v_wind,0.06110944211218967,importance
region_transfer,East China,Sahara,random_forest,wind_speed,0.08887271040086571,importance
region_transfer,East China,Sahara,random_forest,month_sin,0.015398510989373147,importance
region_transfer,East China,Sahara,random_forest,month_cos,0.008220384980337864,importance
region_transfer,East China,Sahara,random_forest,temperature_anomaly,0.08580293879536954,importance
region_transfer,East China,Sahara,random_forest,precipitation_anomaly,0.04859013270542514,importance
region_transfer,East China,Sahara,random_forest,radiation_anomaly,0.0908819127913568,importance
region_transfer,East China,Sahara,random_forest,soil_moisture_anomaly,0.2737107849739637,importance
region_transfer,East China,Sahara,random_forest,dryness_proxy,0.03976955424978088,importance
region_transfer,East China,Sahara,random_forest,saturation_vapor_pressure,0.02067126380631551,importance
region_transfer,East China,Sahara,xgboost,latitude,0.027672212570905685,importance
region_transfer,East China,Sahara,xgboost,longitude,0.0348290391266346,importance
region_transfer,East China,Sahara,xgboost,temperature,0.03452349826693535,importance
region_transfer,East China,Sahara,xgboost,precipitation,0.036825139075517654,importance
region_transfer,East China,Sahara,xgboost,radiation,0.03941285237669945,importance
region_transfer,East China,Sahara,xgboost,soil_moisture,0.05420961230993271,importance
region_transfer,East China,Sahara,xgboost,u_wind,0.04338207095861435,importance
region_transfer,East China,Sahara,xgboost,v_wind,0.04710296913981438,importance
region_transfer,East China,Sahara,xgboost,wind_speed,0.08351878076791763,importance
region_transfer,East China,Sahara,xgboost,month_sin,0.033359598368406296,importance
region_transfer,East China,Sahara,xgboost,month_cos,0.03808170184493065,importance
region_transfer,East China,Sahara,xgboost,temperature_anomaly,0.062025852501392365,importance
region_transfer,East China,Sahara,xgboost,precipitation_anomaly,0.04656492918729782,importance
region_transfer,East China,Sahara,xgboost,radiation_anomaly,0.07037156075239182,importance
region_transfer,East China,Sahara,xgboost,soil_moisture_anomaly,0.27026844024658203,importance
region_transfer,East China,Sahara,xgboost,dryness_proxy,0.04428301379084587,importance
region_transfer,East China,Sahara,xgboost,saturation_vapor_pressure,0.033568769693374634,importance
