experiment_id,model_name,validation_strategy,feature_set,train_region,test_region,train_period,test_period,n_train,n_test,MAE,RMSE,R2
synthetic_phase3_baseline,random_forest,region_transfer,physical,East China,Sahara,2010-2020,2010-2020,3960,3960,1.3622213252097926,1.6761925364269128,-0.7517023928189204
synthetic_phase3_baseline,xgboost,region_transfer,physical,East China,Sahara,2010-2020,2010-2020,3960,3960,1.6794074819495184,2.012490864926313,-1.5251103007604558
synthetic_phase3_baseline,linear_regression,random_split,full,mixed,mixed,mixed,mixed,6336,1584,1.0815950170083573,1.368873003971599,-6.486570617325604e-05
synthetic_phase3_baseline,random_forest,random_split,full,mixed,mixed,mixed,mixed,6336,1584,0.9790864205075678,1.2345081109372293,0.1866270075266374
synthetic_phase3_baseline,xgboost,random_split,full,mixed,mixed,mixed,mixed,6336,1584,0.9761454902625927,1.228030880044966,0.19513984509343374
synthetic_phase3_baseline,linear_regression,spatial_holdout,full,mixed,mixed,mixed,mixed,6336,1584,1.0508360753683155,1.3128061206379773,0.00014330881401114492
synthetic_phase3_baseline,random_forest,spatial_holdout,full,mixed,mixed,mixed,mixed,6336,1584,0.9661710144512767,1.2165499243511242,0.14138900859955217
synthetic_phase3_baseline,xgboost,spatial_holdout,full,mixed,mixed,mixed,mixed,6336,1584,0.9624892465507751,1.2070366847599723,0.15476492514540374
synthetic_phase3_baseline,linear_regression,temporal_holdout,full,mixed,mixed,2010-2019,2020,7200,720,1.0921384377648309,1.3697200945266303,-0.00016761342715065908
synthetic_phase3_baseline,random_forest,temporal_holdout,full,mixed,mixed,2010-2019,2020,7200,720,1.014288054480542,1.2748461382846539,0.13358756116101445
synthetic_phase3_baseline,xgboost,temporal_holdout,full,mixed,mixed,2010-2019,2020,7200,720,1.0176213186194218,1.2788944084930547,0.12807624408222318
synthetic_phase3_baseline,linear_regression,region_transfer,full,Sahara,East China,2010-2020,2010-2020,3960,3960,1.1042990905042764,1.3869676145011711,-3.5413516638049813e-05
synthetic_phase3_baseline,random_forest,region_transfer,full,Sahara,East China,2010-2020,2010-2020,3960,3960,1.0633920988086256,1.3438730512516854,0.06114347516439955
synthetic_phase3_baseline,xgboost,region_transfer,full,Sahara,East China,2010-2020,2010-2020,3960,3960,1.0938557760207923,1.3742814419679472,0.018174963308814185
synthetic_phase3_baseline,linear_regression,region_transfer,full,East China,Sahara,2010-2020,2010-2020,3960,3960,1.1048752223275735,1.3848256845533502,-0.19564633748630955
synthetic_phase3_baseline,random_forest,region_transfer,full,East China,Sahara,2010-2020,2010-2020,3960,3960,0.9833556853267496,1.2200572642854464,0.07194663815292857
synthetic_phase3_baseline,xgboost,region_transfer,full,East China,Sahara,2010-2020,2010-2020,3960,3960,1.0071256458043214,1.2490975457337858,0.027241065820226562
