validation_strategy,train_region,test_region,train_period,test_period,feature_set,model,model_name,n_train,n_test,MAE,RMSE,R2
spatial_holdout,mixed,mixed,mixed,mixed,meteorological,linear_regression,linear_regression,6336,1584,0.9597400055353972,1.196921484141331,0.16887203273708118
spatial_holdout,mixed,mixed,mixed,mixed,meteorological,random_forest,random_forest,6336,1584,0.9720552552894269,1.222043637719751,0.13361684397120477
spatial_holdout,mixed,mixed,mixed,mixed,meteorological,xgboost,xgboost,6336,1584,0.9656153198187157,1.2102215591080332,0.15029858366523463
temporal_holdout,mixed,mixed,2010-2019,2020,meteorological,linear_regression,linear_regression,7200,720,1.0055392664694882,1.2663389270097742,0.14511234122187266
temporal_holdout,mixed,mixed,2010-2019,2020,meteorological,random_forest,random_forest,7200,720,1.0272041345459857,1.284146434065104,0.12090009434647586
temporal_holdout,mixed,mixed,2010-2019,2020,meteorological,xgboost,xgboost,7200,720,1.0205378216674394,1.2810465214204745,0.12513924281689015
region_transfer,Sahara,East China,2010-2020,2010-2020,meteorological,linear_regression,linear_regression,3960,3960,1.0030384311679441,1.263363503243136,0.1702650345585417
region_transfer,Sahara,East China,2010-2020,2010-2020,meteorological,random_forest,random_forest,3960,3960,1.0614804544257892,1.3414707013121325,0.06449713412212121
region_transfer,Sahara,East China,2010-2020,2010-2020,meteorological,xgboost,xgboost,3960,3960,1.0661565086024694,1.348673688814022,0.05442385215458412
region_transfer,East China,Sahara,2010-2020,2010-2020,meteorological,linear_regression,linear_regression,3960,3960,0.9923769966893364,1.233512598584288,0.051363791473334475
region_transfer,East China,Sahara,2010-2020,2010-2020,meteorological,random_forest,random_forest,3960,3960,1.0122288499584413,1.2552464439692264,0.01764034577935214
region_transfer,East China,Sahara,2010-2020,2010-2020,meteorological,xgboost,xgboost,3960,3960,1.0007145326879683,1.2410113519074444,0.03979486003842281
random_split,mixed,mixed,mixed,mixed,physical,linear_regression,linear_regression,6336,1584,1.0815950170083575,1.368873003971599,-6.486570617325604e-05
random_split,mixed,mixed,mixed,mixed,physical,random_forest,random_forest,6336,1584,1.0997832963704006,1.4017750919611884,-0.04871753593567374
random_split,mixed,mixed,mixed,mixed,physical,xgboost,xgboost,6336,1584,1.072570875173033,1.3571253545741317,0.017026565025610285
spatial_holdout,mixed,mixed,mixed,mixed,physical,linear_regression,linear_regression,6336,1584,1.0508360753683155,1.3128061206379773,0.00014330881401092288
spatial_holdout,mixed,mixed,mixed,mixed,physical,random_forest,random_forest,6336,1584,1.0814735986263544,1.3673776889204496,-0.08470976626003157
spatial_holdout,mixed,mixed,mixed,mixed,physical,xgboost,xgboost,6336,1584,1.0427816161281025,1.309589232097729,0.00503738529405795
temporal_holdout,mixed,mixed,2010-2019,2020,physical,linear_regression,linear_regression,7200,720,1.092138437764831,1.3697200945266303,-0.00016761342715065908
temporal_holdout,mixed,mixed,2010-2019,2020,physical,random_forest,random_forest,7200,720,1.1170124500233856,1.403003004849362,-0.049364421753611776
temporal_holdout,mixed,mixed,2010-2019,2020,physical,xgboost,xgboost,7200,720,1.0699342711734492,1.35573962940786,0.02014522069502711
region_transfer,Sahara,East China,2010-2020,2010-2020,physical,linear_regression,linear_regression,3960,3960,1.1042990905042764,1.3869676145011711,-3.5413516638049813e-05
region_transfer,Sahara,East China,2010-2020,2010-2020,physical,random_forest,random_forest,3960,3960,1.1835885939164568,1.4901580645468222,-0.15437633130131867
region_transfer,Sahara,East China,2010-2020,2010-2020,physical,xgboost,xgboost,3960,3960,1.1424706909781812,1.4399882431888713,-0.07795499995416577
region_transfer,East China,Sahara,2010-2020,2010-2020,physical,linear_regression,linear_regression,3960,3960,1.206052647397938,1.5516633538406075,-0.501092741278423
region_transfer,East China,Sahara,2010-2020,2010-2020,physical,random_forest,random_forest,3960,3960,1.3622213252097926,1.6761925364269128,-0.7517023928189204
region_transfer,East China,Sahara,2010-2020,2010-2020,physical,xgboost,xgboost,3960,3960,1.6794074819495184,2.012490864926313,-1.5251103007604558
random_split,mixed,mixed,mixed,mixed,full,linear_regression,linear_regression,6336,1584,1.0815950170083573,1.368873003971599,-6.486570617325604e-05
random_split,mixed,mixed,mixed,mixed,full,random_forest,random_forest,6336,1584,0.9790864205075678,1.2345081109372293,0.1866270075266374
random_split,mixed,mixed,mixed,mixed,full,xgboost,xgboost,6336,1584,0.9761454902625927,1.228030880044966,0.19513984509343374
spatial_holdout,mixed,mixed,mixed,mixed,full,linear_regression,linear_regression,6336,1584,1.0508360753683155,1.3128061206379773,0.00014330881401114492
spatial_holdout,mixed,mixed,mixed,mixed,full,random_forest,random_forest,6336,1584,0.9661710144512767,1.2165499243511242,0.14138900859955217
spatial_holdout,mixed,mixed,mixed,mixed,full,xgboost,xgboost,6336,1584,0.9624892465507751,1.2070366847599723,0.15476492514540374
temporal_holdout,mixed,mixed,2010-2019,2020,full,linear_regression,linear_regression,7200,720,1.0921384377648309,1.3697200945266303,-0.00016761342715065908
temporal_holdout,mixed,mixed,2010-2019,2020,full,random_forest,random_forest,7200,720,1.014288054480542,1.2748461382846539,0.13358756116101445
temporal_holdout,mixed,mixed,2010-2019,2020,full,xgboost,xgboost,7200,720,1.0176213186194218,1.2788944084930547,0.12807624408222318
region_transfer,Sahara,East China,2010-2020,2010-2020,full,linear_regression,linear_regression,3960,3960,1.1042990905042764,1.3869676145011711,-3.5413516638049813e-05
region_transfer,Sahara,East China,2010-2020,2010-2020,full,random_forest,random_forest,3960,3960,1.0633920988086256,1.3438730512516854,0.06114347516439955
region_transfer,Sahara,East China,2010-2020,2010-2020,full,xgboost,xgboost,3960,3960,1.0938557760207923,1.3742814419679472,0.018174963308814185
region_transfer,East China,Sahara,2010-2020,2010-2020,full,linear_regression,linear_regression,3960,3960,1.1048752223275735,1.3848256845533502,-0.19564633748630955
region_transfer,East China,Sahara,2010-2020,2010-2020,full,random_forest,random_forest,3960,3960,0.9833556853267496,1.2200572642854464,0.07194663815292857
region_transfer,East China,Sahara,2010-2020,2010-2020,full,xgboost,xgboost,3960,3960,1.0071256458043214,1.2490975457337858,0.027241065820226562
