region,year,month,latitude,longitude,temperature,precipitation,radiation,soil_moisture,u_wind,v_wind,evaporation
Sahara,2012,4,27.2875,18.5143,32.755,14.62,290.784,0.0401,3.91,2.229,9.183
Sahara,2012,5,27.2875,18.5143,33.632,8.109,323.319,0.0237,3.339,-0.875,10.219
Sahara,2012,6,27.2875,18.5143,36.529,7.929,319.447,0.0327,4.715,0.655,11.658
Sahara,2012,7,27.2875,18.5143,38.08,8.464,311.756,0.0335,3.383,2.593,13.012
Sahara,2012,8,27.2875,18.5143,37.507,5.948,291.376,0.0426,3.815,0.98,8.668
Sahara,2012,9,27.2875,18.5143,35.391,10.282,268.896,0.0369,3.816,0.552,9.668
Sahara,2012,10,27.2875,18.5143,29.845,5.992,259.026,0.0519,0.42,0.263,8.81
Sahara,2012,11,27.2875,18.5143,26.444,3.512,223.462,0.0439,5.573,-1.034,9.981
Sahara,2012,12,27.2875,18.5143,22.579,2.755,224.471,0.0359,5.06,1.083,10.392
Sahara,2013,1,27.2875,18.5143,23.766,3.292,258.468,0.0376,4.494,0.203,8.961
Sahara,2013,2,27.2875,18.5143,22.026,4.958,245.717,0.0461,3.271,1.671,9.278
Sahara,2013,3,27.2875,18.5143,28.731,4.459,264.28,0.0332,2.094,-0.018,10.547
Sahara,2013,4,27.2875,18.5143,30.956,0.204,292.363,0.0222,2.04,-0.171,9.66
Sahara,2013,5,27.2875,18.5143,35.733,7.435,296.058,0.035,3.586,0.914,12.416
Sahara,2013,6,27.2875,18.5143,33.833,4.636,330.909,0.02,5.271,0.868,12.158
Sahara,2013,7,27.2875,18.5143,37.144,11.719,329.656,0.034,3.781,0.77,10.201
Sahara,2013,8,27.2875,18.5143,36.707,8.39,306.334,0.0413,2.23,0.375,12.231
Sahara,2013,9,27.2875,18.5143,32.885,5.175,282.023,0.0398,3.514,1.829,11.123
Sahara,2013,10,27.2875,18.5143,31.263,9.216,280.777,0.0356,1.096,2.104,8.838
Sahara,2013,11,27.2875,18.5143,26.162,10.238,225.006,0.0378,1.578,-0.294,8.218
Sahara,2013,12,27.2875,18.5143,23.858,4.105,220.872,0.02,3.565,0.028,8.219
Sahara,2014,1,27.2875,18.5143,23.053,2.089,248.63,0.0357,4.136,-0.205,8.29
Sahara,2014,2,27.2875,18.5143,23.367,4.282,253.563,0.0409,3.181,0.382,9.435
Sahara,2014,3,27.2875,18.5143,23.01,0.0,265.178,0.02,2.686,1.249,7.882
Sahara,2014,4,27.2875,18.5143,30.297,7.357,315.777,0.0272,5.124,0.592,9.566
Sahara,2014,5,27.2875,18.5143,33.108,0.0,310.09,0.02,4.464,2.221,8.95
Sahara,2014,6,27.2875,18.5143,37.517,2.838,329.747,0.02,1.303,1.428,9.814
Sahara,2014,7,27.2875,18.5143,37.199,4.185,312.428,0.0281,3.273,0.829,11.16
Sahara,2014,8,27.2875,18.5143,38.909,7.629,287.731,0.0446,3.102,1.615,11.2
Sahara,2014,9,27.2875,18.5143,33.803,9.859,299.51,0.0557,3.583,0.66,11.944
Sahara,2014,10,27.2875,18.5143,28.732,8.332,257.241,0.0442,2.5,-1.09,6.462
Sahara,2014,11,27.2875,18.5143,24.324,3.165,238.097,0.0565,4.827,-0.462,9.388
Sahara,2014,12,27.2875,18.5143,22.461,1.863,236.853,0.0416,3.093,1.564,6.77
Sahara,2015,1,27.2875,18.5143,22.01,11.927,243.26,0.0636,3.61,1.081,8.548
Sahara,2015,2,27.2875,18.5143,22.816,0.0,261.803,0.02,4.299,1.585,9.037
Sahara,2015,3,27.2875,18.5143,25.571,3.352,276.913,0.039,1.302,0.164,6.134
Sahara,2015,4,27.2875,18.5143,27.757,8.455,311.452,0.0232,1.697,-2.465,8.913
Sahara,2015,5,27.2875,18.5143,37.631,6.74,313.375,0.0321,1.627,0.203,10.475
Sahara,2015,6,27.2875,18.5143,36.799,10.163,328.446,0.0362,2.674,1.398,12.941
Sahara,2015,7,27.2875,18.5143,36.545,4.913,332.329,0.02,5.185,0.057,13.139
Sahara,2015,8,27.2875,18.5143,37.125,10.033,318.147,0.0278,2.371,0.051,11.061
Sahara,2015,9,27.2875,18.5143,31.651,11.014,274.612,0.0531,0.627,-0.287,7.094
Sahara,2015,10,27.2875,18.5143,28.761,7.991,255.708,0.0383,3.309,0.703,7.805
Sahara,2015,11,27.2875,18.5143,27.06,7.651,244.879,0.0481,3.856,2.535,9.047
Sahara,2015,12,27.2875,18.5143,22.611,0.0,224.677,0.0226,2.433,0.429,7.76
Sahara,2016,1,27.2875,18.5143,22.077,0.0,250.031,0.0374,3.308,-0.153,8.892
Sahara,2016,2,27.2875,18.5143,23.354,0.0,256.82,0.0313,2.42,0.69,6.417
Sahara,2016,3,27.2875,18.5143,28.004,6.528,277.475,0.0379,0.608,-0.656,8.28
Sahara,2016,4,27.2875,18.5143,28.392,5.858,322.473,0.02,2.495,0.735,11.608
Sahara,2016,5,27.2875,18.5143,32.166,5.996,337.184,0.02,1.963,0.076,9.513
Sahara,2016,6,27.2875,18.5143,38.147,7.967,307.25,0.0357,2.807,1.774,10.068
Sahara,2016,7,27.2875,18.5143,37.045,10.629,326.6,0.0351,1.477,1.038,9.377
Sahara,2016,8,27.2875,18.5143,37.281,3.305,306.963,0.02,1.961,1.214,10.499
Sahara,2016,9,27.2875,18.5143,33.079,14.269,275.593,0.0466,3.823,-0.12,10.608
Sahara,2016,10,27.2875,18.5143,29.2,5.353,271.126,0.0234,0.605,2.111,11.833
Sahara,2016,11,27.2875,18.5143,25.392,0.0,237.924,0.0296,3.272,-0.613,8.922
Sahara,2016,12,27.2875,18.5143,23.859,0.0,241.992,0.0521,3.706,0.163,8.444
Sahara,2017,1,27.2875,18.5143,22.923,0.0,242.673,0.0276,5.717,0.326,10.706
Sahara,2017,2,27.2875,18.5143,21.416,3.349,260.694,0.0242,3.713,1.713,7.967
Sahara,2017,3,27.2875,18.5143,23.462,1.466,270.976,0.0246,3.402,-1.206,6.684
Sahara,2017,4,27.2875,18.5143,30.723,0.909,276.853,0.0338,3.827,-0.214,8.087
Sahara,2017,5,27.2875,18.5143,35.254,6.397,342.797,0.0252,3.965,0.333,12.175
Sahara,2017,6,27.2875,18.5143,37.866,12.007,319.787,0.0297,2.925,1.291,12.675
Sahara,2017,7,27.2875,18.5143,37.312,6.765,322.112,0.0233,4.642,-1.752,10.278
Sahara,2017,8,27.2875,18.5143,35.755,0.0,292.864,0.02,3.259,1.613,9.891
Sahara,2017,9,27.2875,18.5143,32.454,8.236,290.492,0.0245,2.407,1.059,9.312
Sahara,2017,10,27.2875,18.5143,30.971,6.945,264.517,0.0272,3.485,0.289,7.792
Sahara,2017,11,27.2875,18.5143,23.655,7.743,237.519,0.0339,3.385,1.628,5.475
Sahara,2017,12,27.2875,18.5143,20.827,0.0,249.612,0.0329,4.421,-0.64,7.009
Sahara,2018,1,27.2875,18.5143,22.672,1.769,246.516,0.0315,3.834,0.658,9.225
Sahara,2018,2,27.2875,18.5143,24.282,0.0,235.027,0.043,4.925,-0.521,6.502
Sahara,2018,3,27.2875,18.5143,26.149,5.259,297.976,0.0335,3.054,-0.393,9.374
Sahara,2018,4,27.2875,18.5143,29.551,0.0,322.988,0.0333,4.863,-0.421,11.694
Sahara,2018,5,27.2875,18.5143,34.959,6.77,331.468,0.0302,4.388,1.137,11.604
Sahara,2018,6,27.2875,18.5143,34.253,7.334,319.438,0.02,5.518,2.229,12.771
Sahara,2018,7,27.2875,18.5143,38.383,13.867,319.092,0.039,2.188,0.897,10.899
Sahara,2018,8,27.2875,18.5143,34.974,8.795,301.703,0.0508,4.573,0.511,11.302
Sahara,2018,9,27.2875,18.5143,34.066,7.652,269.176,0.0361,2.605,-0.75,10.179
Sahara,2018,10,27.2875,18.5143,30.587,0.0,256.273,0.0387,4.771,1.526,9.74
Sahara,2018,11,27.2875,18.5143,24.732,0.665,244.475,0.0359,5.045,1.6,8.769
Sahara,2018,12,27.2875,18.5143,21.205,1.724,237.172,0.0331,2.807,0.753,7.123
Sahara,2019,1,27.2875,18.5143,21.058,2.782,237.009,0.0392,3.828,-0.639,7.5
Sahara,2019,2,27.2875,18.5143,25.228,0.0,236.333,0.02,3.535,0.531,7.957
Sahara,2019,3,27.2875,18.5143,27.821,0.0,283.959,0.0388,2.147,0.12,8.213
Sahara,2019,4,27.2875,18.5143,28.658,1.695,316.775,0.0376,3.097,2.405,10.304
Sahara,2019,5,27.2875,18.5143,36.631,4.627,320.282,0.0265,7.315,1.351,11.073
Sahara,2019,6,27.2875,18.5143,38.382,5.553,320.102,0.0334,3.537,0.779,11.149
Sahara,2019,7,27.2875,18.5143,38.505,10.164,299.601,0.042,2.322,-0.942,10.516
Sahara,2019,8,27.2875,18.5143,37.054,6.226,310.81,0.02,3.012,-0.085,10.389
Sahara,2019,9,27.2875,18.5143,34.418,4.433,287.243,0.0298,1.23,-1.459,9.596
Sahara,2019,10,27.2875,18.5143,29.669,6.586,257.22,0.0407,4.637,-0.611,8.131
Sahara,2019,11,27.2875,18.5143,24.36,6.156,253.478,0.0342,0.498,-1.204,6.893
Sahara,2019,12,27.2875,18.5143,22.235,1.366,235.386,0.0319,4.759,-0.176,7.265
Sahara,2020,1,27.2875,18.5143,22.718,0.0,244.926,0.032,3.323,2.088,7.545
Sahara,2020,2,27.2875,18.5143,26.162,0.098,244.73,0.0319,2.209,-0.252,8.63
Sahara,2020,3,27.2875,18.5143,26.833,0.0,289.874,0.0336,5.224,1.029,11.566
Sahara,2020,4,27.2875,18.5143,27.179,1.728,293.83,0.025,2.814,0.334,11.454
Sahara,2020,5,27.2875,18.5143,33.745,6.655,316.648,0.0274,3.507,0.948,11.908
Sahara,2020,6,27.2875,18.5143,39.399,8.238,330.895,0.02,3.395,1.44,12.263
Sahara,2020,7,27.2875,18.5143,38.317,12.01,323.879,0.0452,3.847,0.144,11.83
Sahara,2020,8,27.2875,18.5143,32.532,10.532,266.016,0.0254,4.042,0.978,8.185
Sahara,2020,9,27.2875,18.5143,32.932,13.946,275.16,0.0683,3.498,0.908,12.249
Sahara,2020,10,27.2875,18.5143,30.197,2.991,256.403,0.0328,1.862,0.244,7.787
Sahara,2020,11,27.2875,18.5143,27.387,5.138,238.201,0.039,3.768,1.117,7.536
Sahara,2020,12,27.2875,18.5143,21.509,7.419,230.877,0.0308,4.033,0.963,6.101
Sahara,2010,1,23.2665,28.5379,22.344,4.478,244.773,0.0441,1.815,0.831,7.528
Sahara,2010,2,23.2665,28.5379,22.348,4.482,272.293,0.0502,5.078,0.39,9.775
Sahara,2010,3,23.2665,28.5379,27.15,2.021,281.308,0.035,3.429,-0.229,8.797
Sahara,2010,4,23.2665,28.5379,30.951,3.012,305.902,0.03,3.05,1.256,10.451
Sahara,2010,5,23.2665,28.5379,32.148,10.769,313.964,0.02,2.246,-0.521,9.862
Sahara,2010,6,23.2665,28.5379,36.517,5.653,331.197,0.0256,3.879,0.91,11.862
Sahara,2010,7,23.2665,28.5379,34.838,7.006,297.169,0.0314,3.494,1.546,11.81
Sahara,2010,8,23.2665,28.5379,37.232,6.999,307.352,0.0237,3.498,1.486,10.009
Sahara,2010,9,23.2665,28.5379,35.209,11.174,270.452,0.0524,4.338,0.602,9.506
Sahara,2010,10,23.2665,28.5379,28.711,4.849,262.926,0.0251,4.025,-0.742,8.892
Sahara,2010,11,23.2665,28.5379,26.164,14.781,227.256,0.0714,3.68,0.911,9.009
Sahara,2010,12,23.2665,28.5379,23.739,2.385,249.541,0.0291,4.859,-0.144,8.613
Sahara,2011,1,23.2665,28.5379,20.392,3.356,255.48,0.0332,3.264,-0.615,7.813
Sahara,2011,2,23.2665,28.5379,20.683,0.0,259.768,0.0412,6.871,-0.087,11.05
Sahara,2011,3,23.2665,28.5379,26.366,0.931,284.326,0.0252,3.632,0.092,7.494
Sahara,2011,4,23.2665,28.5379,27.685,5.613,299.733,0.0225,3.51,1.295,9.771
Sahara,2011,5,23.2665,28.5379,33.016,9.905,334.763,0.0329,4.668,1.742,12.575
Sahara,2011,6,23.2665,28.5379,37.849,9.393,330.197,0.02,4.341,-0.856,10.306
Sahara,2011,7,23.2665,28.5379,39.955,11.825,333.845,0.0283,2.117,0.26,11.141
Sahara,2011,8,23.2665,28.5379,37.047,13.535,298.887,0.044,2.314,0.95,10.453
Sahara,2011,9,23.2665,28.5379,32.875,7.521,278.158,0.0329,5.626,0.402,10.085
Sahara,2011,10,23.2665,28.5379,26.854,3.423,254.869,0.0273,5.158,0.335,10.693
Sahara,2011,11,23.2665,28.5379,26.093,5.149,240.141,0.0397,5.563,-1.82,6.789
Sahara,2011,12,23.2665,28.5379,22.257,3.058,241.901,0.0409,3.039,1.519,9.413
Sahara,2012,1,23.2665,28.5379,22.276,5.387,243.755,0.0337,4.337,0.611,8.367
Sahara,2012,2,23.2665,28.5379,25.281,0.0,243.323,0.02,3.064,0.245,6.28
Sahara,2012,3,23.2665,28.5379,24.522,0.0,304.574,0.0371,3.006,0.136,7.992
Sahara,2012,4,23.2665,28.5379,27.138,2.532,292.521,0.0244,1.58,-0.262,8.989
Sahara,2012,5,23.2665,28.5379,34.549,6.67,305.766,0.0374,2.54,1.133,10.303
Sahara,2012,6,23.2665,28.5379,34.864,5.735,328.654,0.029,3.331,2.032,12.15
Sahara,2012,7,23.2665,28.5379,37.615,11.465,338.309,0.0491,2.026,-0.427,12.965
Sahara,2012,8,23.2665,28.5379,35.341,3.71,297.638,0.0302,3.377,-0.151,9.502
Sahara,2012,9,23.2665,28.5379,32.931,4.946,302.816,0.0298,4.564,0.011,10.261
Sahara,2012,10,23.2665,28.5379,28.93,0.0,243.72,0.02,0.8,-0.695,9.487
Sahara,2012,11,23.2665,28.5379,25.933,10.162,245.139,0.054,2.419,1.024,9.45
Sahara,2012,12,23.2665,28.5379,22.207,5.238,240.662,0.0342,2.153,-0.684,7.821
Sahara,2013,1,23.2665,28.5379,22.491,0.0,241.295,0.0374,4.242,2.052,10.043
Sahara,2013,2,23.2665,28.5379,21.57,7.734,252.19,0.0516,3.582,0.088,6.333
Sahara,2013,3,23.2665,28.5379,25.743,0.0,289.673,0.0372,2.544,0.802,8.26
Sahara,2013,4,23.2665,28.5379,29.057,6.098,302.115,0.0461,2.921,1.499,10.1
Sahara,2013,5,23.2665,28.5379,35.194,3.211,318.476,0.02,2.497,1.162,11.114
Sahara,2013,6,23.2665,28.5379,37.819,13.148,339.493,0.0281,3.948,-0.124,11.436
Sahara,2013,7,23.2665,28.5379,37.1,14.944,322.608,0.0357,4.932,-1.671,9.085
Sahara,2013,8,23.2665,28.5379,38.122,9.242,305.004,0.02,3.472,2.504,11.782
Sahara,2013,9,23.2665,28.5379,34.255,6.708,276.054,0.02,3.809,1.345,7.935
Sahara,2013,10,23.2665,28.5379,29.008,2.37,247.846,0.0345,0.999,1.114,9.231
Sahara,2013,11,23.2665,28.5379,25.623,0.0,231.065,0.0461,0.166,0.152,6.107
Sahara,2013,12,23.2665,28.5379,24.279,0.3,239.04,0.0383,5.703,0.297,9.393
Sahara,2014,1,23.2665,28.5379,19.772,6.298,233.424,0.0372,3.473,-1.063,8.046
Sahara,2014,2,23.2665,28.5379,24.523,2.172,241.611,0.0337,4.39,-1.378,7.333
Sahara,2014,3,23.2665,28.5379,27.315,2.616,284.12,0.0457,4.062,1.158,13.005
Sahara,2014,4,23.2665,28.5379,29.679,0.0,306.778,0.023,2.868,-0.532,12.447
Sahara,2014,5,23.2665,28.5379,34.49,2.071,328.13,0.02,3.197,1.062,9.062
Sahara,2014,6,23.2665,28.5379,37.457,14.652,329.662,0.0323,2.891,0.09,10.657
Sahara,2014,7,23.2665,28.5379,37.433,12.129,301.639,0.0465,3.044,0.877,9.415
Sahara,2014,8,23.2665,28.5379,38.921,13.983,312.096,0.0234,4.495,0.905,9.2
Sahara,2014,9,23.2665,28.5379,33.964,9.922,285.561,0.0395,3.849,1.974,11.822
Sahara,2014,10,23.2665,28.5379,25.699,5.73,255.853,0.02,3.613,1.749,7.298
Sahara,2014,11,23.2665,28.5379,26.505,1.337,234.31,0.0499,2.849,0.962,6.259
Sahara,2014,12,23.2665,28.5379,25.865,5.411,233.175,0.0472,1.808,1.683,7.826
Sahara,2015,1,23.2665,28.5379,21.694,0.0,235.222,0.0399,3.807,1.152,8.145
Sahara,2015,2,23.2665,28.5379,23.842,0.0,279.797,0.02,5.013,1.868,8.216
Sahara,2015,3,23.2665,28.5379,29.344,5.518,289.711,0.0306,3.239,0.291,10.002
Sahara,2015,4,23.2665,28.5379,32.102,3.725,293.386,0.0352,4.605,1.155,11.266
Sahara,2015,5,23.2665,28.5379,33.594,1.284,310.289,0.02,3.784,0.417,9.799
Sahara,2015,6,23.2665,28.5379,32.495,2.011,336.208,0.02,3.933,-0.891,12.471
Sahara,2015,7,23.2665,28.5379,37.784,9.624,342.229,0.0412,3.132,-0.093,11.055
Sahara,2015,8,23.2665,28.5379,37.693,8.579,298.548,0.0478,3.363,2.8,11.217
Sahara,2015,9,23.2665,28.5379,36.678,9.893,289.63,0.0297,2.475,0.96,11.256
Sahara,2015,10,23.2665,28.5379,30.06,1.854,243.897,0.02,1.379,0.609,9.483
Sahara,2015,11,23.2665,28.5379,25.98,0.0,239.121,0.0305,6.015,-0.957,8.628
Sahara,2015,12,23.2665,28.5379,25.631,4.8,240.633,0.0402,3.896,1.278,7.7
Sahara,2016,1,23.2665,28.5379,23.317,0.0,244.313,0.0329,2.76,0.477,7.293
Sahara,2016,2,23.2665,28.5379,21.464,0.0,246.46,0.0339,2.12,1.212,6.392
Sahara,2016,3,23.2665,28.5379,25.151,0.0,293.251,0.0247,3.246,0.999,6.61
Sahara,2016,4,23.2665,28.5379,29.935,10.99,303.823,0.0364,4.158,1.396,7.843
Sahara,2016,5,23.2665,28.5379,31.477,5.841,311.822,0.0395,3.122,-1.435,8.816
Sahara,2016,6,23.2665,28.5379,32.804,6.063,323.116,0.0202,4.795,1.699,10.622
Sahara,2016,7,23.2665,28.5379,34.798,10.933,324.525,0.0346,4.678,-0.665,13.575
Sahara,2016,8,23.2665,28.5379,35.489,11.997,285.627,0.0316,5.32,0.239,11.658
Sahara,2016,9,23.2665,28.5379,34.355,8.044,293.639,0.031,1.363,-0.303,10.245
Sahara,2016,10,23.2665,28.5379,30.593,0.732,250.257,0.0252,3.061,-0.876,8.103
Sahara,2016,11,23.2665,28.5379,24.907,8.086,249.12,0.0408,3.03,0.64,7.491
Sahara,2016,12,23.2665,28.5379,21.352,0.0,228.652,0.0226,3.694,1.23,5.799
Sahara,2017,1,23.2665,28.5379,22.038,0.656,244.444,0.032,1.756,-0.762,7.684
Sahara,2017,2,23.2665,28.5379,24.615,0.0,260.957,0.0397,3.316,1.05,7.924
Sahara,2017,3,23.2665,28.5379,25.821,0.0,256.557,0.0381,2.318,0.044,6.795
Sahara,2017,4,23.2665,28.5379,27.885,2.305,295.204,0.0282,4.043,0.821,9.988
Sahara,2017,5,23.2665,28.5379,36.367,0.73,318.422,0.0287,5.017,-0.922,10.879
Sahara,2017,6,23.2665,28.5379,38.965,9.032,326.953,0.026,3.039,0.788,10.747
Sahara,2017,7,23.2665,28.5379,37.936,8.778,312.19,0.0361,6.997,-1.277,12.344
Sahara,2017,8,23.2665,28.5379,35.788,11.31,302.966,0.044,4.911,0.692,12.449
Sahara,2017,9,23.2665,28.5379,30.484,14.826,283.751,0.0563,2.036,-0.331,9.764
Sahara,2017,10,23.2665,28.5379,29.974,8.132,268.345,0.0209,4.669,0.508,9.208
Sahara,2017,11,23.2665,28.5379,23.793,7.012,216.888,0.0536,1.709,0.553,7.48
Sahara,2017,12,23.2665,28.5379,24.826,2.285,228.059,0.0328,5.027,1.036,8.079
Sahara,2018,1,23.2665,28.5379,21.645,0.0,244.914,0.02,4.402,0.629,11.002
Sahara,2018,2,23.2665,28.5379,21.422,0.589,275.483,0.0377,2.665,0.724,8.478
Sahara,2018,3,23.2665,28.5379,26.423,0.0,279.107,0.02,3.662,0.95,8.773
Sahara,2018,4,23.2665,28.5379,27.577,6.954,306.145,0.0219,3.163,-1.001,8.297
Sahara,2018,5,23.2665,28.5379,33.193,9.914,312.576,0.0388,2.854,0.748,10.193
Sahara,2018,6,23.2665,28.5379,38.238,4.861,309.275,0.02,2.862,-0.749,11.017
Sahara,2018,7,23.2665,28.5379,37.301,17.963,301.594,0.0487,2.146,0.007,10.654
Sahara,2018,8,23.2665,28.5379,33.44,9.947,321.529,0.0261,3.812,1.525,10.472
Sahara,2018,9,23.2665,28.5379,33.129,0.0,286.41,0.0216,2.285,0.627,8.777
Sahara,2018,10,23.2665,28.5379,29.207,9.425,244.116,0.0558,1.823,-0.163,10.999
Sahara,2018,11,23.2665,28.5379,27.691,5.39,231.624,0.0365,3.588,0.538,8.412
Sahara,2018,12,23.2665,28.5379,23.026,2.142,220.58,0.0339,4.598,-0.868,7.892
Sahara,2019,1,23.2665,28.5379,20.77,1.981,237.143,0.0503,4.108,-0.812,9.123
Sahara,2019,2,23.2665,28.5379,21.91,0.0,260.638,0.023,4.571,-0.275,7.789
Sahara,2019,3,23.2665,28.5379,25.015,0.0,290.992,0.0281,5.552,2.768,8.689
Sahara,2019,4,23.2665,28.5379,30.106,0.0,294.724,0.02,2.231,-0.552,9.106
Sahara,2019,5,23.2665,28.5379,32.175,8.369,309.794,0.0587,2.958,0.572,8.997
Sahara,2019,6,23.2665,28.5379,39.487,11.478,327.969,0.02,3.753,-0.621,12.958
Sahara,2019,7,23.2665,28.5379,39.214,8.846,294.607,0.0245,4.325,1.713,12.224
Sahara,2019,8,23.2665,28.5379,34.54,10.206,312.655,0.02,3.491,0.774,10.011
Sahara,2019,9,23.2665,28.5379,31.222,7.161,276.727,0.0339,2.824,0.057,9.368
Sahara,2019,10,23.2665,28.5379,30.664,5.782,253.404,0.0389,1.195,0.977,8.664
Sahara,2019,11,23.2665,28.5379,26.06,8.843,221.501,0.0292,3.829,0.493,8.319
Sahara,2019,12,23.2665,28.5379,22.379,5.657,244.326,0.0445,3.187,-1.608,9.253
Sahara,2020,1,23.2665,28.5379,23.833,4.114,232.232,0.0465,4.533,2.059,7.637
Sahara,2020,2,23.2665,28.5379,22.732,3.989,258.074,0.0232,3.998,1.079,8.543
Sahara,2020,3,23.2665,28.5379,26.329,0.501,294.783,0.02,2.795,0.511,10.108
Sahara,2020,4,23.2665,28.5379,27.754,0.0,282.123,0.0239,2.158,0.115,9.635
Sahara,2020,5,23.2665,28.5379,33.038,5.925,315.978,0.0324,4.07,-0.192,10.431
Sahara,2020,6,23.2665,28.5379,38.494,8.574,311.03,0.0372,2.198,1.913,12.062
Sahara,2020,7,23.2665,28.5379,38.435,9.093,316.881,0.037,3.055,0.736,12.039
Sahara,2020,8,23.2665,28.5379,36.085,6.535,290.556,0.021,1.306,1.23,11.829
Sahara,2020,9,23.2665,28.5379,36.138,1.96,287.249,0.0397,2.952,0.601,7.848
Sahara,2020,10,23.2665,28.5379,30.4,2.746,259.496,0.02,4.151,1.525,8.321
Sahara,2020,11,23.2665,28.5379,24.295,0.0,238.365,0.0265,1.639,0.953,7.135
Sahara,2020,12,23.2665,28.5379,21.458,0.782,245.713,0.0381,3.344,1.119,6.77
Sahara,2010,1,28.3032,-0.3379,22.049,2.125,236.33,0.0403,2.563,1.01,8.531
Sahara,2010,2,28.3032,-0.3379,18.696,5.761,227.024,0.0371,4.73,0.183,6.098
Sahara,2010,3,28.3032,-0.3379,24.359,5.644,260.785,0.0476,3.434,-0.692,8.156
Sahara,2010,4,28.3032,-0.3379,28.474,6.465,309.824,0.02,3.016,-0.363,11.128
Sahara,2010,5,28.3032,-0.3379,31.975,11.417,318.638,0.0218,2.687,-0.302,8.475
Sahara,2010,6,28.3032,-0.3379,37.07,2.088,303.196,0.02,1.337,-0.252,8.768
Sahara,2010,7,28.3032,-0.3379,36.693,16.468,319.535,0.0432,1.368,-0.154,10.707
Sahara,2010,8,28.3032,-0.3379,35.391,12.632,290.473,0.038,2.797,0.664,9.374
Sahara,2010,9,28.3032,-0.3379,33.594,7.52,272.656,0.0416,3.786,0.411,9.46
Sahara,2010,10,28.3032,-0.3379,31.195,6.057,254.433,0.0392,5.536,-0.84,10.801
Sahara,2010,11,28.3032,-0.3379,23.16,5.869,256.78,0.0423,3.705,-0.06,8.673
Sahara,2010,12,28.3032,-0.3379,22.694,0.0,232.101,0.0356,2.579,-0.306,6.111
Sahara,2011,1,28.3032,-0.3379,22.586,3.717,243.345,0.0466,3.605,0.892,8.777
Sahara,2011,2,28.3032,-0.3379,22.934,0.0,279.642,0.02,2.701,0.934,8.749
Sahara,2011,3,28.3032,-0.3379,23.893,6.027,279.058,0.0221,4.927,1.126,7.646
Sahara,2011,4,28.3032,-0.3379,32.666,5.635,302.398,0.0439,3.691,0.472,9.644
Sahara,2011,5,28.3032,-0.3379,34.873,6.906,319.118,0.02,3.656,0.43,8.961
Sahara,2011,6,28.3032,-0.3379,34.72,9.261,298.981,0.0361,2.926,1.808,9.775
Sahara,2011,7,28.3032,-0.3379,38.989,6.876,320.109,0.0337,2.945,1.497,9.911
